name,shape,weight,video_no
jeans_1_video_01_0001.png,1,3,1
jeans_1_video_01_0002.png,1,3,1
jeans_1_video_01_0003.png,1,3,1
jeans_1_video_01_0004.png,1,3,1
jeans_1_video_01_0005.png,1,3,1
jeans_1_video_01_0006.png,1,3,1
jeans_1_video_01_0007.png,1,3,1
jeans_1_video_01_0008.png,1,3,1
jeans_1_video_01_0009.png,1,3,1
jeans_1_video_01_0010.png,1,3,1
jeans_1_video_01_0011.png,1,3,1
jeans_1_video_01_0012.png,1,3,1
jeans_1_video_01_0013.png,1,3,1
jeans_1_video_01_0014.png,1,3,1
jeans_1_video_01_0015.png,1,3,1
jeans_1_video_01_0016.png,1,3,1
jeans_1_video_01_0017.png,1,3,1
jeans_1_video_01_0018.png,1,3,1
jeans_1_video_01_0019.png,1,3,1
jeans_1_video_01_0020.png,1,3,1
jeans_1_video_01_0021.png,1,3,1
jeans_1_video_01_0022.png,1,3,1
jeans_1_video_01_0023.png,1,3,1
jeans_1_video_01_0024.png,1,3,1
jeans_1_video_01_0025.png,1,3,1
jeans_1_video_01_0026.png,1,3,1
jeans_1_video_01_0027.png,1,3,1
jeans_1_video_01_0028.png,1,3,1
jeans_1_video_01_0029.png,1,3,1
jeans_1_video_01_0030.png,1,3,1
jeans_1_video_01_0031.png,1,3,1
jeans_1_video_01_0032.png,1,3,1
jeans_1_video_01_0033.png,1,3,1
jeans_1_video_01_0034.png,1,3,1
jeans_1_video_01_0035.png,1,3,1
jeans_1_video_01_0036.png,1,3,1
jeans_1_video_01_0037.png,1,3,1
jeans_1_video_01_0038.png,1,3,1
jeans_1_video_01_0039.png,1,3,1
jeans_1_video_01_0040.png,1,3,1
jeans_1_video_01_0041.png,1,3,1
jeans_1_video_01_0042.png,1,3,1
jeans_1_video_01_0043.png,1,3,1
jeans_1_video_01_0044.png,1,3,1
jeans_1_video_01_0045.png,1,3,1
jeans_1_video_01_0046.png,1,3,1
jeans_1_video_01_0047.png,1,3,1
jeans_1_video_01_0048.png,1,3,1
jeans_1_video_01_0049.png,1,3,1
jeans_1_video_01_0050.png,1,3,1
jeans_1_video_01_0051.png,1,3,1
jeans_1_video_01_0052.png,1,3,1
jeans_1_video_01_0053.png,1,3,1
jeans_1_video_01_0054.png,1,3,1
jeans_1_video_01_0055.png,1,3,1
jeans_1_video_01_0056.png,1,3,1
jeans_1_video_01_0057.png,1,3,1
jeans_1_video_01_0058.png,1,3,1
jeans_1_video_01_0059.png,1,3,1
jeans_1_video_01_0060.png,1,3,1
jeans_1_video_02_0001.png,1,3,2
jeans_1_video_02_0002.png,1,3,2
jeans_1_video_02_0003.png,1,3,2
jeans_1_video_02_0004.png,1,3,2
jeans_1_video_02_0005.png,1,3,2
jeans_1_video_02_0006.png,1,3,2
jeans_1_video_02_0007.png,1,3,2
jeans_1_video_02_0008.png,1,3,2
jeans_1_video_02_0009.png,1,3,2
jeans_1_video_02_0010.png,1,3,2
jeans_1_video_02_0011.png,1,3,2
jeans_1_video_02_0012.png,1,3,2
jeans_1_video_02_0013.png,1,3,2
jeans_1_video_02_0014.png,1,3,2
jeans_1_video_02_0015.png,1,3,2
jeans_1_video_02_0016.png,1,3,2
jeans_1_video_02_0017.png,1,3,2
jeans_1_video_02_0018.png,1,3,2
jeans_1_video_02_0019.png,1,3,2
jeans_1_video_02_0020.png,1,3,2
jeans_1_video_02_0021.png,1,3,2
jeans_1_video_02_0022.png,1,3,2
jeans_1_video_02_0023.png,1,3,2
jeans_1_video_02_0024.png,1,3,2
jeans_1_video_02_0025.png,1,3,2
jeans_1_video_02_0026.png,1,3,2
jeans_1_video_02_0027.png,1,3,2
jeans_1_video_02_0028.png,1,3,2
jeans_1_video_02_0029.png,1,3,2
jeans_1_video_02_0030.png,1,3,2
jeans_1_video_02_0031.png,1,3,2
jeans_1_video_02_0032.png,1,3,2
jeans_1_video_02_0033.png,1,3,2
jeans_1_video_02_0034.png,1,3,2
jeans_1_video_02_0035.png,1,3,2
jeans_1_video_02_0036.png,1,3,2
jeans_1_video_02_0037.png,1,3,2
jeans_1_video_02_0038.png,1,3,2
jeans_1_video_02_0039.png,1,3,2
jeans_1_video_02_0040.png,1,3,2
jeans_1_video_02_0041.png,1,3,2
jeans_1_video_02_0042.png,1,3,2
jeans_1_video_02_0043.png,1,3,2
jeans_1_video_02_0044.png,1,3,2
jeans_1_video_02_0045.png,1,3,2
jeans_1_video_02_0046.png,1,3,2
jeans_1_video_02_0047.png,1,3,2
jeans_1_video_02_0048.png,1,3,2
jeans_1_video_02_0049.png,1,3,2
jeans_1_video_02_0050.png,1,3,2
jeans_1_video_02_0051.png,1,3,2
jeans_1_video_02_0052.png,1,3,2
jeans_1_video_02_0053.png,1,3,2
jeans_1_video_02_0054.png,1,3,2
jeans_1_video_02_0055.png,1,3,2
jeans_1_video_02_0056.png,1,3,2
jeans_1_video_02_0057.png,1,3,2
jeans_1_video_02_0058.png,1,3,2
jeans_1_video_02_0059.png,1,3,2
jeans_1_video_02_0060.png,1,3,2
jeans_1_video_03_0001.png,1,3,3
jeans_1_video_03_0002.png,1,3,3
jeans_1_video_03_0003.png,1,3,3
jeans_1_video_03_0004.png,1,3,3
jeans_1_video_03_0005.png,1,3,3
jeans_1_video_03_0006.png,1,3,3
jeans_1_video_03_0007.png,1,3,3
jeans_1_video_03_0008.png,1,3,3
jeans_1_video_03_0009.png,1,3,3
jeans_1_video_03_0010.png,1,3,3
jeans_1_video_03_0011.png,1,3,3
jeans_1_video_03_0012.png,1,3,3
jeans_1_video_03_0013.png,1,3,3
jeans_1_video_03_0014.png,1,3,3
jeans_1_video_03_0015.png,1,3,3
jeans_1_video_03_0016.png,1,3,3
jeans_1_video_03_0017.png,1,3,3
jeans_1_video_03_0018.png,1,3,3
jeans_1_video_03_0019.png,1,3,3
jeans_1_video_03_0020.png,1,3,3
jeans_1_video_03_0021.png,1,3,3
jeans_1_video_03_0022.png,1,3,3
jeans_1_video_03_0023.png,1,3,3
jeans_1_video_03_0024.png,1,3,3
jeans_1_video_03_0025.png,1,3,3
jeans_1_video_03_0026.png,1,3,3
jeans_1_video_03_0027.png,1,3,3
jeans_1_video_03_0028.png,1,3,3
jeans_1_video_03_0029.png,1,3,3
jeans_1_video_03_0030.png,1,3,3
jeans_1_video_03_0031.png,1,3,3
jeans_1_video_03_0032.png,1,3,3
jeans_1_video_03_0033.png,1,3,3
jeans_1_video_03_0034.png,1,3,3
jeans_1_video_03_0035.png,1,3,3
jeans_1_video_03_0036.png,1,3,3
jeans_1_video_03_0037.png,1,3,3
jeans_1_video_03_0038.png,1,3,3
jeans_1_video_03_0039.png,1,3,3
jeans_1_video_03_0040.png,1,3,3
jeans_1_video_03_0041.png,1,3,3
jeans_1_video_03_0042.png,1,3,3
jeans_1_video_03_0043.png,1,3,3
jeans_1_video_03_0044.png,1,3,3
jeans_1_video_03_0045.png,1,3,3
jeans_1_video_03_0046.png,1,3,3
jeans_1_video_03_0047.png,1,3,3
jeans_1_video_03_0048.png,1,3,3
jeans_1_video_03_0049.png,1,3,3
jeans_1_video_03_0050.png,1,3,3
jeans_1_video_03_0051.png,1,3,3
jeans_1_video_03_0052.png,1,3,3
jeans_1_video_03_0053.png,1,3,3
jeans_1_video_03_0054.png,1,3,3
jeans_1_video_03_0055.png,1,3,3
jeans_1_video_03_0056.png,1,3,3
jeans_1_video_03_0057.png,1,3,3
jeans_1_video_03_0058.png,1,3,3
jeans_1_video_03_0059.png,1,3,3
jeans_1_video_03_0060.png,1,3,3
jeans_1_video_04_0001.png,1,3,4
jeans_1_video_04_0002.png,1,3,4
jeans_1_video_04_0003.png,1,3,4
jeans_1_video_04_0004.png,1,3,4
jeans_1_video_04_0005.png,1,3,4
jeans_1_video_04_0006.png,1,3,4
jeans_1_video_04_0007.png,1,3,4
jeans_1_video_04_0008.png,1,3,4
jeans_1_video_04_0009.png,1,3,4
jeans_1_video_04_0010.png,1,3,4
jeans_1_video_04_0011.png,1,3,4
jeans_1_video_04_0012.png,1,3,4
jeans_1_video_04_0013.png,1,3,4
jeans_1_video_04_0014.png,1,3,4
jeans_1_video_04_0015.png,1,3,4
jeans_1_video_04_0016.png,1,3,4
jeans_1_video_04_0017.png,1,3,4
jeans_1_video_04_0018.png,1,3,4
jeans_1_video_04_0019.png,1,3,4
jeans_1_video_04_0020.png,1,3,4
jeans_1_video_04_0021.png,1,3,4
jeans_1_video_04_0022.png,1,3,4
jeans_1_video_04_0023.png,1,3,4
jeans_1_video_04_0024.png,1,3,4
jeans_1_video_04_0025.png,1,3,4
jeans_1_video_04_0026.png,1,3,4
jeans_1_video_04_0027.png,1,3,4
jeans_1_video_04_0028.png,1,3,4
jeans_1_video_04_0029.png,1,3,4
jeans_1_video_04_0030.png,1,3,4
jeans_1_video_04_0031.png,1,3,4
jeans_1_video_04_0032.png,1,3,4
jeans_1_video_04_0033.png,1,3,4
jeans_1_video_04_0034.png,1,3,4
jeans_1_video_04_0035.png,1,3,4
jeans_1_video_04_0036.png,1,3,4
jeans_1_video_04_0037.png,1,3,4
jeans_1_video_04_0038.png,1,3,4
jeans_1_video_04_0039.png,1,3,4
jeans_1_video_04_0040.png,1,3,4
jeans_1_video_04_0041.png,1,3,4
jeans_1_video_04_0042.png,1,3,4
jeans_1_video_04_0043.png,1,3,4
jeans_1_video_04_0044.png,1,3,4
jeans_1_video_04_0045.png,1,3,4
jeans_1_video_04_0046.png,1,3,4
jeans_1_video_04_0047.png,1,3,4
jeans_1_video_04_0048.png,1,3,4
jeans_1_video_04_0049.png,1,3,4
jeans_1_video_04_0050.png,1,3,4
jeans_1_video_04_0051.png,1,3,4
jeans_1_video_04_0052.png,1,3,4
jeans_1_video_04_0053.png,1,3,4
jeans_1_video_04_0054.png,1,3,4
jeans_1_video_04_0055.png,1,3,4
jeans_1_video_04_0056.png,1,3,4
jeans_1_video_04_0057.png,1,3,4
jeans_1_video_04_0058.png,1,3,4
jeans_1_video_04_0059.png,1,3,4
jeans_1_video_04_0060.png,1,3,4
jeans_1_video_05_0001.png,1,3,5
jeans_1_video_05_0002.png,1,3,5
jeans_1_video_05_0003.png,1,3,5
jeans_1_video_05_0004.png,1,3,5
jeans_1_video_05_0005.png,1,3,5
jeans_1_video_05_0006.png,1,3,5
jeans_1_video_05_0007.png,1,3,5
jeans_1_video_05_0008.png,1,3,5
jeans_1_video_05_0009.png,1,3,5
jeans_1_video_05_0010.png,1,3,5
jeans_1_video_05_0011.png,1,3,5
jeans_1_video_05_0012.png,1,3,5
jeans_1_video_05_0013.png,1,3,5
jeans_1_video_05_0014.png,1,3,5
jeans_1_video_05_0015.png,1,3,5
